date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:42:36	111211/111211	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:38%20GMT	https://colorlib.com//polygon/admindek/default/accordion.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/accordion.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:36	95323/95323	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:10%20GMT	https://colorlib.com//polygon/admindek/default/generic-class.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/generic-class.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:36	137551/137551	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:25%20GMT	https://colorlib.com//polygon/admindek/default/tabs.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/tabs.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:36	133804/133804	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:47%20GMT	https://colorlib.com//polygon/admindek/default/color.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/color.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:36	102300/102300	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:15%20GMT	https://colorlib.com//polygon/admindek/default/label-badge.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/label-badge.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:37	115639/115639	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:22%20GMT	https://colorlib.com//polygon/admindek/default/progress-bar.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/progress-bar.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:37	147171/147171	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:15%20GMT	https://colorlib.com//polygon/admindek/default/list.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/list.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:37	126818/126818	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:26%20GMT	https://colorlib.com//polygon/admindek/default/tooltip.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/tooltip.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:38	121753/121753	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:22%20GMT	https://colorlib.com//polygon/admindek/default/other.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/other.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:38	123829/123829	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:27%20GMT	https://colorlib.com//polygon/admindek/default/typography.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/typography.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:38	88593/88593	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:49%20GMT	https://colorlib.com//polygon/admindek/default/draggable.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/draggable.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:39	175716/175716	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:20%20GMT	https://colorlib.com//polygon/admindek/default/modal.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/modal.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:39	109495/109495	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:21%20GMT	https://colorlib.com//polygon/admindek/default/notification.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/notification.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:39	113520/113520	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:23%20GMT	https://colorlib.com//polygon/admindek/default/rating.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/rating.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:39	118400/118400	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:23%20GMT	https://colorlib.com//polygon/admindek/default/range-slider.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/range-slider.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:40	110116/110116	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:24%20GMT	https://colorlib.com//polygon/admindek/default/slider.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/slider.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:40	111545/111545	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:25%20GMT	https://colorlib.com//polygon/admindek/default/syntax-highlighter.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/syntax-highlighter.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:40	114031/114031	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:26%20GMT	https://colorlib.com//polygon/admindek/default/tour.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/tour.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:41	111172/111172	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:21%20GMT	https://colorlib.com//polygon/admindek/default/nestable.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/nestable.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:42	110465/110465	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:27%20GMT	https://colorlib.com//polygon/admindek/default/treeview.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/treeview.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:42	111589/111589	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:26%20GMT	https://colorlib.com//polygon/admindek/default/toolbar.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/toolbar.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:42	97372/97372	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:24%20GMT	https://colorlib.com//polygon/admindek/default/session-timeout.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/session-timeout.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:42	97477/97477	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:24%20GMT	https://colorlib.com//polygon/admindek/default/session-idle-timeout.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/session-idle-timeout.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:43	103009/103009	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:22%20GMT	https://colorlib.com//polygon/admindek/default/offline.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/offline.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:43	108833/108833	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:38%20GMT	https://colorlib.com//polygon/admindek/default/animation.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/animation.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:43	307690/307690	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:13%20GMT	https://colorlib.com//polygon/admindek/default/icon-font-awesome.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/icon-font-awesome.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:43	191849/191849	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:14%20GMT	https://colorlib.com//polygon/admindek/default/icon-themify.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/icon-themify.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:43	157403/157403	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:13%20GMT	https://colorlib.com//polygon/admindek/default/icon-simple-line.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/icon-simple-line.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:44	154777/154777	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:08%20GMT	https://colorlib.com//polygon/admindek/default/form-elements-component.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/form-elements-component.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:44	141082/141082	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:05%20GMT	https://colorlib.com//polygon/admindek/default/form-elements-add-on.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/form-elements-add-on.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:44	114061/114061	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:05%20GMT	https://colorlib.com//polygon/admindek/default/form-elements-advance.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/form-elements-advance.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:44	101165/101165	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:07%20GMT	https://colorlib.com//polygon/admindek/default/form-picker.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/form-picker.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:45	90702/90702	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:08%20GMT	https://colorlib.com//polygon/admindek/default/form-validation.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/form-validation.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:45	92295/92295	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:06%20GMT	https://colorlib.com//polygon/admindek/default/form-masking.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/form-masking.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:45	140085/140085	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:07%20GMT	https://colorlib.com//polygon/admindek/default/form-select.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/form-select.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:45	170691/170691	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:09%20GMT	https://colorlib.com//polygon/admindek/default/form-wizard.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/form-wizard.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:45	138610/138610	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:41%20GMT	https://colorlib.com//polygon/admindek/default/bs-basic-table.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/bs-basic-table.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:45	109100/109100	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:41%20GMT	https://colorlib.com//polygon/admindek/default/bs-table-sizing.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/bs-table-sizing.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:46	113360/113360	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:41%20GMT	https://colorlib.com//polygon/admindek/default/bs-table-border.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/bs-table-border.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:46	109622/109622	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:43%20GMT	https://colorlib.com//polygon/admindek/default/bs-table-styling.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/bs-table-styling.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:46	254905/254905	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:53%20GMT	https://colorlib.com//polygon/admindek/default/dt-basic.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/dt-basic.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:46	183697/183697	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:49%20GMT	https://colorlib.com//polygon/admindek/default/dt-advance.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/dt-advance.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:47	182023/182023	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:00%20GMT	https://colorlib.com//polygon/admindek/default/dt-styling.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/dt-styling.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:47	371445/371445	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:50%20GMT	https://colorlib.com//polygon/admindek/default/dt-api.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/dt-api.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:47	90435/90435	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:49%20GMT	https://colorlib.com//polygon/admindek/default/dt-ajax.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/dt-ajax.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:47	260669/260669	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:59%20GMT	https://colorlib.com//polygon/admindek/default/dt-plugin.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/dt-plugin.html	(from https://colorlib.com//polygon/admindek/default/index.html)
09:42:48	84041/84041	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:59%20GMT	https://colorlib.com//polygon/admindek/default/dt-server-side.html	C:/My%20Web%20Sites/umesh/colorlib.com/polygon/admindek/default/dt-server-side.html	(from https://colorlib.com//polygon/admindek/default/index.html)
